Dates,DC_bootstrap,DC_pseudo_inverse
04-Oct-2012,0.999997361118075,0.999997361118075
05-Nov-2012,0.999893677972242,0.999893677972242
03-Jan-2013,0.999430435699477,0.999430435699477
20-Mar-2013,0.998115631621989,0.997833462821108
03-Apr-2013,0.997790559105288,0.997790559105288
19-Jun-2013,0.997575998427728,0.997293982181968
18-Sep-2013,0.996951020909953,0.996669181346284
03-Oct-2013,0.996833349267877,0.996545939422859
18-Dec-2013,0.996253449779159,0.995971807419906
19-Mar-2014,0.995420586904211,0.995139179996553
03-Oct-2014,0.990429397811807,0.990430775335521
05-Oct-2015,0.982324546925451,0.9823262362627
03-Oct-2016,0.969942495665813,0.969944647193263
03-Oct-2017,0.953243905741413,0.953246575375641
03-Oct-2018,0.933033721838183,0.931220301396213
03-Oct-2019,0.909521779579405,0.909549511069798
03-Oct-2020,0.886873352765787,0.884481953817085
03-Oct-2021,0.862200784584858,0.85988894558466
03-Oct-2022,0.835583502436804,0.835700886329682
03-Oct-2023,0.812510053690554,0.81009044862642
03-Oct-2024,0.788432816736662,0.784848210611443
03-Oct-2025,0.763561798242283,0.760113305730927
03-Oct-2026,0.737913842084628,0.735815568402125
04-Oct-2027,0.711498333126261,0.711889627200989
04-Oct-2028,0.69301229309828,0.692928413901871
04-Oct-2029,0.674664760204079,0.674358042027242
04-Oct-2030,0.656416247173149,0.656125778658714
04-Oct-2031,0.638277005910226,0.638231623796289
04-Oct-2032,0.620208317716917,0.620627478682824
04-Oct-2033,0.605317534784973,0.605636257024888
04-Oct-2034,0.59070233728224,0.590931691030615
04-Oct-2035,0.576358715348302,0.576513780700003
04-Oct-2036,0.562244932044136,0.562343810266843
04-Oct-2037,0.548433281652173,0.548499996621538
04-Oct-2038,0.534881380342962,0.534942838639895
04-Oct-2039,0.521585361395322,0.521672336321914
04-Oct-2040,0.508506409520744,0.508652917484981
04-Oct-2041,0.495711366589587,0.495956511852307
03-Oct-2042,0.483194474617426,0.483580761198279
